행정구역,2020년11월_계_총인구수,2020년11월_계_연령구간인구수,2020년11월_계_0세,2020년11월_남_총인구수,2020년11월_남_연령구간인구수,2020년11월_남_0세,2020년11월_여_총인구수,2020년11월_여_연령구간인구수,2020년11월_여_0세
서울특별시  (1100000000),"9,679,771","45,045","45,045","4,708,321","23,221","23,221","4,971,450","21,824","21,824"
서울특별시 종로구 (1111000000),"149,549",496,496,"72,741",261,261,"76,808",235,235
서울특별시 종로구 청운효자동(1111051500),"12,440",49,49,"5,791",24,24,"6,649",25,25
서울특별시 종로구 사직동(1111053000),"9,546",25,25,"4,267",10,10,"5,279",15,15
서울특별시 종로구 삼청동(1111054000),"2,661",7,7,"1,291",3,3,"1,370",4,4
서울특별시 종로구 부암동(1111055000),"10,020",27,27,"4,765",14,14,"5,255",13,13
서울특별시 종로구 평창동(1111056000),"18,403",78,78,"8,572",41,41,"9,831",37,37
서울특별시 종로구 무악동(1111057000),"8,597",40,40,"4,002",18,18,"4,595",22,22
서울특별시 종로구 교남동(1111058000),"10,483",69,69,"4,862",40,40,"5,621",29,29
서울특별시 종로구 가회동(1111060000),"4,303",7,7,"1,989",5,5,"2,314",2,2
서울특별시 종로구 종로1.2.3.4가동(1111061500),"7,218",11,11,"4,315",7,7,"2,903",4,4
서울특별시 종로구 종로5.6가동(1111063000),"5,284",7,7,"2,866",5,5,"2,418",2,2
서울특별시 종로구 이화동(1111064000),"7,609",19,19,"3,581",8,8,"4,028",11,11
서울특별시 종로구 혜화동(1111065000),"16,862",40,40,"8,127",22,22,"8,735",18,18
서울특별시 종로구 창신제1동(1111067000),"5,153",12,12,"2,788",5,5,"2,365",7,7
서울특별시 종로구 창신제2동(1111068000),"8,327",23,23,"4,288",14,14,"4,039",9,9
서울특별시 종로구 창신제3동(1111069000),"6,906",35,35,"3,385",19,19,"3,521",16,16
서울특별시 종로구 숭인제1동(1111070000),"6,066",21,21,"2,950",13,13,"3,116",8,8
서울특별시 종로구 숭인제2동(1111071000),"9,671",26,26,"4,902",13,13,"4,769",13,13
서울특별시 중구 (1114000000),"125,505",616,616,"61,363",309,309,"64,142",307,307
서울특별시 중구 소공동(1114052000),"2,063",14,14,"1,016",11,11,"1,047",3,3
서울특별시 중구 회현동(1114054000),"5,166",10,10,"2,739",3,3,"2,427",7,7
서울특별시 중구 명동(1114055000),"2,926",8,8,"1,255",5,5,"1,671",3,3
서울특별시 중구 필동(1114057000),"4,049",6,6,"2,087",4,4,"1,962",2,2
서울특별시 중구 장충동(1114058000),"4,681",9,9,"2,366",5,5,"2,315",4,4
서울특별시 중구 광희동(1114059000),"5,193",11,11,"2,709",8,8,"2,484",3,3
서울특별시 중구 을지로동(1114060500),"1,834",6,6,"1,100",2,2,734,4,4
서울특별시 중구 신당동(1114061500),"7,671",28,28,"3,838",14,14,"3,833",14,14
서울특별시 중구 다산동(1114062500),"14,326",60,60,"6,950",32,32,"7,376",28,28
서울특별시 중구 약수동(1114063500),"17,199",89,89,"8,099",43,43,"9,100",46,46
서울특별시 중구 청구동(1114064500),"14,063",74,74,"6,665",33,33,"7,398",41,41
서울특별시 중구 신당제5동(1114065000),"10,553",45,45,"5,143",31,31,"5,410",14,14
서울특별시 중구 동화동(1114066500),"10,667",56,56,"5,138",32,32,"5,529",24,24
서울특별시 중구 황학동(1114067000),"12,582",81,81,"6,003",38,38,"6,579",43,43
서울특별시 중구 중림동(1114068000),"12,532",119,119,"6,255",48,48,"6,277",71,71
서울특별시 용산구 (1117000000),"230,151","1,070","1,070","110,776",563,563,"119,375",507,507
서울특별시 용산구 후암동(1117051000),"17,697",62,62,"8,601",30,30,"9,096",32,32
서울특별시 용산구 용산2가동(1117052000),"10,036",27,27,"4,826",16,16,"5,210",11,11
서울특별시 용산구 남영동(1117053000),"7,642",9,9,"4,648",2,2,"2,994",7,7
서울특별시 용산구 청파동(1117055500),"19,861",48,48,"9,322",28,28,"10,539",20,20
